concept_id_a,concept_id_b,cosine_similarity,shared_terms,page_path_a,page_path_b
city_internal_collaboration_share,world_city_collaboration_network,0.9046,city; collaboration; cities; internal; self; link; pan; strength,concepts/measures/city_internal_collaboration_share.md,concepts/representations/world_city_collaboration_network.md
clinical_trial_citation_share,clinical_trial_publication_share,0.8936,trial; clinical; translation; wang; share; publication; biomedical; outcome,concepts/measures/clinical_trial_citation_share.md,concepts/measures/clinical_trial_publication_share.md
attention_half_life_definition_sensitivity,initial_attention_drop_stability_check,0.8680,half; life; drop; definition; sub; threshold; parolo; last,concepts/validations/attention_half_life_definition_sensitivity.md,concepts/validations/initial_attention_drop_stability_check.md
attention_half_life_definition_sensitivity,paper_attention_half_life,0.8421,half; life; peak; last; drop; attention; threshold; definition,concepts/validations/attention_half_life_definition_sensitivity.md,concepts/measures/paper_attention_half_life.md
dimensions_grant_acknowledgment_mining,grant_acknowledgment_entity_recognition,0.8413,funder; grant; acknowledgment; hook; mining; name; structured; funding,concepts/methods/dimensions_grant_acknowledgment_mining.md,concepts/methods/grant_acknowledgment_entity_recognition.md
diagnostic_topic_class_alignment,diagnostic_topic_ratio,0.8285,class; topic; diagnostic; topics; griffiths; steyvers; classes; prevalence,concepts/validations/diagnostic_topic_class_alignment.md,concepts/measures/diagnostic_topic_ratio.md
world_city_citation_network,world_city_collaboration_network,0.8259,city; cities; pan; collaboration; self; geographic; link; weights,concepts/representations/world_city_citation_network.md,concepts/representations/world_city_collaboration_network.md
city_citation_strength_degree_scaling,city_collaboration_strength_degree_scaling,0.8255,city; strength; degree; scaling; cities; collaboration; pan; superlinear,concepts/measures/city_citation_strength_degree_scaling.md,concepts/measures/city_collaboration_strength_degree_scaling.md
repeat_collaboration_lock_in,repeat_incumbent_collaboration_fraction,0.8254,incumbent; repeat; collaboration; team; guimera; repeated; ties; fraction,concepts/mechanisms/repeat_collaboration_lock_in.md,concepts/measures/repeat_incumbent_collaboration_fraction.md
diagnostic_topic_class_alignment,topic_class_profile_matrix,0.8236,class; topic; classes; diagnostic; topics; griffiths; steyvers; diagonal,concepts/validations/diagnostic_topic_class_alignment.md,concepts/representations/topic_class_profile_matrix.md
policy_attention_coverage_bias,policy_document_mentions,0.8213,policy; bornmann; mention; source; mentions; haunschild; tracked; mentioned,concepts/validations/policy_attention_coverage_bias.md,concepts/measures/policy_document_mentions.md
mobile_scholar_citation_premium,regional_mobile_citation_premium_gradient,0.8211,mobile; premium; mobility; region; scholars; sugimoto; non; regional,concepts/measures/mobile_scholar_citation_premium.md,concepts/measures/regional_mobile_citation_premium_gradient.md
random_tier_matching_baseline,university_tier_mixing_matrix,0.8204,tier; expected; university; pair; collaborations; matrix; observed; participation,concepts/validations/random_tier_matching_baseline.md,concepts/representations/university_tier_mixing_matrix.md
co_citation_embedding_ranking_task,direct_citation_embedding_ranking_task,0.8151,embedding; task; cohan; candidate; query; ranking; cited; direct,concepts/validations/co_citation_embedding_ranking_task.md,concepts/validations/direct_citation_embedding_ranking_task.md
contribution_archetype_career_progression,supporting_archetype_career_attrition,0.8131,career; archetype; specialized; mid; leader; progression; transition; supporting,concepts/mechanisms/contribution_archetype_career_progression.md,concepts/mechanisms/supporting_archetype_career_attrition.md
lower_tier_assortativity_disadvantage,university_tier_mixing_matrix,0.8120,tier; university; collaborations; matrix; expected; schools; tiers; collaboration,concepts/mechanisms/lower_tier_assortativity_disadvantage.md,concepts/representations/university_tier_mixing_matrix.md
peak_year_citation_alignment,time_to_peak_attention,0.8076,peak; annual; year; maximum; decay; attention; parolo; post,concepts/methods/peak_year_citation_alignment.md,concepts/measures/time_to_peak_attention.md
