concept_id,concept,category,status,first_seen_paper,first_seen_year,latest_seen_paper,latest_seen_year,page_path,primary_reference_doi,openalex_id,dimensions_id,sciscinet_id,aliases
altmetrics,Altmetrics,datasets,full_text_seed,Priem et al. manifesto,2010,Haunschild and Bornmann (2017),2017,concepts/datasets/altmetrics.md,10.1371/journal.pone.0064841,W2073023209,pub.1028078949,W2073023209,alternative metrics; social media attention; online attention
computational_linguistics_citation_function_corpus,Computational-linguistics citation-function corpus,datasets,full_text_seed,Teufel et al. (2006),2006,Teufel et al. (2006),2006,concepts/datasets/computational_linguistics_citation_function_corpus.md,10.3115/1610075.1610091,W2088336913,pub.1099244275,W2088336913,CL citation-function corpus; citation role annotation corpus; computational linguistics citation benchmark; Teufel citation corpus
dimensions,Dimensions,datasets,full_text_seed,Hook et al. (2018),2018,Hook et al. (2018),2018,concepts/datasets/dimensions.md,10.3389/frma.2018.00023,W2888592790,pub.1106289502,W2888592790,Dimensions database; publications grants patents clinical trials
funding_acknowledgments,Funding acknowledgments and grant links,datasets,full_text_seed,Giles and Councill (2004),2004,Alvarez-Bornstein and Montesi (2020),2020,concepts/datasets/funding_acknowledgments.md,10.1073/pnas.0407743101,W2101514744,pub.1051085436,W2101514744,grant links; funding acknowledgments; funder metadata
project_funding_source_survey_linkage,Project funding-source survey linkage,datasets,full_text_seed,Wang et al. (2018),2018,Wang et al. (2018),2018,concepts/datasets/project_funding_source_survey_linkage.md,10.1016/j.respol.2018.03.014,W2794465725,pub.1101833101,W2794465725,project funding survey; paper-project funding linkage; funding-source percentage survey; publication-project survey linkage
openalex,OpenAlex,datasets,full_text_seed,Priem et al. (2022),2022,Lin et al. (2026),2026,concepts/datasets/openalex.md,10.48550/arXiv.2205.01833,W4229010617,pub.1147626509,W4229010617,open scholarly index; OpenAlex snapshot
open_access_status,Open access status,datasets,full_text_seed,Piwowar et al. (2018),2018,Piwowar et al. (2018),2018,concepts/datasets/open_access_status.md,10.7717/peerj.4375,W2741809807,pub.1101032124,W2741809807,OA status; Gold OA; Green OA; Hybrid OA; Bronze OA; Unpaywall status
open_access_route_typology,Open access route typology,datasets,full_text_seed,Piwowar et al. (2018),2018,Piwowar et al. (2018),2018,concepts/datasets/open_access_route_typology.md,10.7717/peerj.4375,W2741809807,pub.1101032124,W2741809807,Gold OA; Green OA; Hybrid OA; Bronze OA; Closed access; OA route
patent_paper_links,Patent-paper links,datasets,full_text_seed,Ahmadpoor and Jones (2017),2017,Lin et al. (2023),2023,concepts/datasets/patent_paper_links.md,10.1126/science.aam9527,W2743628650,pub.1091201170,W2743628650,paper-patent pairs; science-to-technology links; reliance on science
scientific_non_patent_references,Scientific non-patent references,datasets,full_text_seed,Narin et al. (1997),1997,Marx and Fuegi (2020),2020,concepts/datasets/scientific_non_patent_references.md,10.1016/S0048-7333(97)00013-9,W2080838006,pub.1039257071,W2080838006,sNPRs; patent citations to scientific literature; non-patent literature references; patent citations to science
sciscinet_v2,SciSciNet-v2,datasets,full_text_seed,Lin et al. (2023),2023,Lin et al. (2023),2023,concepts/datasets/sciscinet_v2.md,10.1038/s41597-023-02198-9,W4378980478,pub.1158536883,W4378980478,SciSciNet; open science-of-science data lake
scholarly_data_lakes,Scholarly data lakes,datasets,full_text_seed,Hook et al. (2018),2018,Lin et al. (2023),2023,concepts/datasets/scholarly_data_lakes.md,10.1038/s41597-023-02198-9,W4378980478,pub.1158536883,W4378980478,science-of-science data lake; linked scholarly data resource; research information data lake
r01_cohort_comparability_window,R01 cohort comparability window,validations,full_text_seed,Ginther et al. (2011),2011,Ginther et al. (2011),2011,concepts/validations/r01_cohort_comparability_window.md,10.1126/science.1196783,W2096354859,pub.1043590820,W2096354859,NIH R01 cohort window; resubmission follow-up window; scoring-regime comparability; grant cohort right-censoring check
conservative_applicant_publication_matching_bias,Conservative applicant-publication matching bias,validations,full_text_seed,Ginther et al. (2011),2011,Ginther et al. (2011),2011,concepts/validations/conservative_applicant_publication_matching_bias.md,10.1126/science.1196783,W2096354859,pub.1043590820,W2096354859,conservative publication matching bias; applicant output undercount; common-name bibliometric underreporting; high-confidence match false negatives
phd_citizenship_stratification,PhD-citizenship stratification,measures,full_text_seed,Ginther et al. (2011),2011,Ginther et al. (2011),2011,concepts/measures/phd_citizenship_stratification.md,10.1126/science.1196783,W2096354859,pub.1043590820,W2096354859,citizenship at PhD receipt; doctoral citizenship stratification; foreign-born foreign-educated grant proxy; R01 applicant nativity control
training_support_disparity_persistence,Training-support disparity persistence,validations,full_text_seed,Ginther et al. (2011),2011,Ginther et al. (2011),2011,concepts/validations/training_support_disparity_persistence.md,10.1126/science.1196783,W2096354859,pub.1043590820,W2096354859,post-training funding gap; unequal returns to NIH training; training support gap persistence; trained-applicant award disparity
social_media_attention_channels,Social media attention channels,datasets,full_text_seed,Thelwall et al. (2013),2013,Lin et al. (2023),2023,concepts/datasets/social_media_attention_channels.md,10.1371/journal.pone.0064841,W2073023209,pub.1028078949,W2073023209,platform-specific altmetrics; social-web sources; online attention channels; altmetric source categories
upstream_downstream_scholarly_linkages,Upstream-downstream scholarly linkages,datasets,full_text_seed,Hook et al. (2018),2018,Lin et al. (2023),2023,concepts/datasets/upstream_downstream_scholarly_linkages.md,10.1038/s41597-023-02198-9,W4378980478,pub.1158536883,W4378980478,external scholarly linkages; upstream funding downstream use links; science support and use layers
web_of_science,Web of Science,datasets,full_text_seed,Science Citation Index,unknown,Nielsen and Andersen (2021),2021,concepts/datasets/web_of_science.md,10.1162/qss_a_00018,W3000895385,pub.1124230134,W3000895385,WoS; Science Citation Index; curated citation index
scopus,Scopus,datasets,full_text_seed,Waltman (2016),2016,Waltman (2016),2016,concepts/datasets/scopus.md,10.1016/j.joi.2016.02.007,W767067438,pub.1051718960,W767067438,Elsevier Scopus; Scopus citation database; Scopus index
google_scholar,Google Scholar,datasets,full_text_seed,Waltman (2016),2016,Waltman (2016),2016,concepts/datasets/google_scholar.md,10.1016/j.joi.2016.02.007,W767067438,pub.1051718960,W767067438,Google Scholar citation source; scholarly search engine; GS citation counts
altmetric_coverage_sparsity,Altmetric coverage sparsity,measures,full_text_seed,Thelwall et al. (2013),2013,Haunschild and Bornmann (2017),2017,concepts/measures/altmetric_coverage_sparsity.md,10.1371/journal.pone.0064841,W2073023209,pub.1028078949,W2073023209,altmetric sparsity; platform coverage bias; nonzero mention coverage; source coverage
awakening_intensity,Awakening intensity,measures,full_text_seed,van Raan (2004),2004,Ke et al. (2015),2015,concepts/measures/awakening_intensity.md,10.1023/B:SCIE.0000018543.82441.F1,W2159299749,pub.1032191939,W2159299749,awake intensity; post-sleep citation burst; delayed recognition intensity; awakening citation rate
